Plugin,"Plugin Name","Family","Severity","VPR","EPSS","Host Total","Total"
1005762,"[18.10.16.6][MS][2016][DC][v4.0.0][L1] Ensure 'Limit Diagnostic Log Collection' is set to 'Enabled'","N/A","Medium","","","1","1"
1005763,"[18.10.16.7][MS][2016][DC][v4.0.0][L1] Ensure 'Limit Dump Collection' is set to 'Enabled'","N/A","Medium","","","1","1"
1005771,"[18.10.26.1.1][MS][2016][DC][v4.0.0][L1] Ensure 'Application: Control Event Log behavior when the log file reaches its maximum size' is set to 'Disabled'","N/A","Medium","","","1","1"
1005772,"[18.10.26.1.2][MS][2016][DC][v4.0.0][L1] Ensure 'Application: Specify the maximum log file size (KB)' is set to 'Enabled: 32,768 or greater'","N/A","Medium","","","1","1"
1005773,"[18.10.26.2.1][MS][2016][DC][v4.0.0][L1] Ensure 'Security: Control Event Log behavior when the log file reaches its maximum size' is set to 'Disabled'","N/A","Medium","","","1","1"
1005774,"[18.10.26.2.2][MS][2016][DC][v4.0.0][L1] Ensure 'Security: Specify the maximum log file size (KB)' is set to 'Enabled: 196,608 or greater'","N/A","Medium","","","1","1"
1005775,"[18.10.26.3.1][MS][2016][DC][v4.0.0][L1] Ensure 'Setup: Control Event Log behavior when the log file reaches its maximum size' is set to 'Disabled'","N/A","Medium","","","1","1"
1005777,"[18.10.26.3.2][MS][2016][DC][v4.0.0][L1] Ensure 'Setup: Specify the maximum log file size (KB)' is set to 'Enabled: 32,768 or greater'","N/A","Medium","","","1","1"
1005779,"[18.10.26.4.1][MS][2016][DC][v4.0.0][L1] Ensure 'System: Control Event Log behavior when the log file reaches its maximum size' is set to 'Disabled'","N/A","Medium","","","1","1"
1005780,"[18.10.26.4.2][MS][2016][DC][v4.0.0][L1] Ensure 'System: Specify the maximum log file size (KB)' is set to 'Enabled: 32,768 or greater'","N/A","Medium","","","1","1"
1005783,"[18.10.29.4][MS][2016][DC][v4.0.0][L1] Ensure 'Turn off heap termination on corruption' is set to 'Disabled'","N/A","Medium","","","1","1"
1005784,"[18.10.29.5][MS][2016][DC][v4.0.0][L1] Ensure 'Turn off shell protocol protected mode' is set to 'Disabled'","N/A","Medium","","","1","1"
1005792,"[18.10.42.1][MS][2016][DC][v4.0.0][L1] Ensure 'Block all consumer Microsoft account user authentication' is set to 'Enabled'","N/A","Medium","","","1","1"
1005923,"[18.10.51.1][MS][2016][DC][v4.0.0][L1] Ensure 'Prevent the usage of OneDrive for file storage' is set to 'Enabled'","N/A","Medium","","","1","1"
1005924,"[18.10.57.2.2][MS][2016][DC][v4.0.0][L1] Ensure 'Do not allow passwords to be saved' is set to 'Enabled'","N/A","Medium","","","1","1"
1005969,"[18.10.57.3.11.1][MS][2016][DC][v4.0.0][L1] Ensure 'Do not delete temp folders upon exit' is set to 'Disabled'","N/A","Medium","","","1","1"
1005971,"[18.10.57.3.9.1][MS][2016][DC][v4.0.0][L1] Ensure 'Always prompt for password upon connection' is set to 'Enabled'","N/A","Medium","","","1","1"
1005972,"[18.10.57.3.9.2][MS][2016][DC][v4.0.0][L1] Ensure 'Require secure RPC communication' is set to 'Enabled'","N/A","Medium","","","1","1"
1005973,"[18.10.57.3.9.3][MS][2016][DC][v4.0.0][L1] Ensure 'Require use of specific security layer for remote (RDP) connections' is set to 'Enabled: SSL'","N/A","Medium","","","1","1"
1005974,"[18.10.57.3.9.4][MS][2016][DC][v4.0.0][L1] Ensure 'Require user authentication for remote connections by using Network Level Authentication' is set to 'Enabled'","N/A","Medium","","","1","1"
1005977,"[18.10.57.3.9.5][MS][2016][DC][v4.0.0][L1] Ensure 'Set client connection encryption level' is set to 'Enabled: High Level'","N/A","Medium","","","1","1"
1005978,"[18.10.58.1][MS][2016][DC][v4.0.0][L1] Ensure 'Prevent downloading of enclosures' is set to 'Enabled'","N/A","Medium","","","1","1"
1005979,"[18.10.58.2][MS][2016][DC][v4.0.0][L1] Ensure 'Turn on Basic feed authentication over HTTP' is set to 'Disabled'","N/A","Medium","","","1","1"
1005995,"[18.10.6.1][MS][2016][DC][v4.0.0][L1] Ensure 'Allow Microsoft accounts to be optional' is set to 'Enabled'","N/A","Medium","","","1","1"
1006019,"[18.10.80.2][MS][2016][DC][v4.0.0][L1] Ensure 'Allow Windows Ink Workspace' is set to 'Enabled: On, but disallow access above lock' OR 'Enabled: Disabled'","N/A","Medium","","","1","1"
1006023,"[18.10.8.1][MS][2016][DC][v4.0.0][L1] Ensure 'Disallow Autoplay for non-volume devices' is set to 'Enabled'","N/A","Medium","","","1","1"
1006034,"[18.10.81.1][MS][2016][DC][v4.0.0][L1] Ensure 'Allow user control over installs' is set to 'Disabled'","N/A","Medium","","","1","1"
1006037,"[18.10.81.2][MS][2016][DC][v4.0.0][L1] Ensure 'Always install with elevated privileges' is set to 'Disabled'","N/A","Medium","","","1","1"
1006038,"[18.10.8.2][MS][2016][DC][v4.0.0][L1] Ensure 'Set the default behavior for AutoRun' is set to 'Enabled: Do not execute any autorun commands'","N/A","Medium","","","1","1"
1006042,"[18.10.8.3][MS][2016][DC][v4.0.0][L1] Ensure 'Turn off Autoplay' is set to 'Enabled: All drives'","N/A","Medium","","","1","1"
1006043,"[18.10.89.1.1][MS][2016][DC][v4.0.0][L1] Ensure 'Allow Basic authentication' is set to 'Disabled'","N/A","Medium","","","1","1"
1006044,"[18.10.89.1.2][MS][2016][DC][v4.0.0][L1] Ensure 'Allow unencrypted traffic' is set to 'Disabled'","N/A","Medium","","","1","1"
1006045,"[18.10.89.1.3][MS][2016][DC][v4.0.0][L1] Ensure 'Disallow Digest authentication' is set to 'Enabled'","N/A","Medium","","","1","1"
1006046,"[18.10.89.2.1][MS][2016][DC][v4.0.0][L1] Ensure 'Allow Basic authentication' is set to 'Disabled'","N/A","Medium","","","1","1"
1006047,"[18.10.89.2.3][MS][2016][DC][v4.0.0][L1] Ensure 'Allow unencrypted traffic' is set to 'Disabled'","N/A","Medium","","","1","1"
1006048,"[18.10.89.2.4][MS][2016][DC][v4.0.0][L1] Ensure 'Disallow WinRM from storing RunAs credentials' is set to 'Enabled'","N/A","Medium","","","1","1"
1006049,"[18.10.9.1.1][MS][2016][DC][v4.0.0][L1] Ensure 'Configure enhanced anti-spoofing' is set to 'Enabled'","N/A","Medium","","","1","1"
1006052,"[18.10.92.2.1][MS][2016][DC][v4.0.0][L1] Ensure 'Prevent users from modifying settings' is set to 'Enabled'","N/A","Medium","","","1","1"
1006053,"[18.10.93.1.1][MS][2016][DC][v4.0.0][L1] Ensure 'No auto-restart with logged on users for scheduled automatic updates installations' is set to 'Disabled'","N/A","Medium","","","1","1"
1006054,"[18.10.93.2.1][MS][2016][DC][v4.0.0][L1] Ensure 'Configure Automatic Updates' is set to 'Enabled'","N/A","Medium","","","1","1"
