Plugin,"Plugin Name","Family","Severity","VPR","EPSS","Host Total","Total"
1006285,"[18.10.93.4.2][MS][2016][DC][v4.0.0][L1] Ensure 'Select when Preview Builds and Feature Updates are received' is set to 'Enabled: 180 or more days'","N/A","Medium","","","1","1"
1006286,"[18.10.93.4.3][MS][2016][DC][v4.0.0][L1] Ensure 'Select when Quality Updates are received' is set to 'Enabled: 0 days'","N/A","Medium","","","1","1"
1006288,"[18.5.1][MS][2016][DC][v4.0.0][L1] Ensure 'MSS: (AutoAdminLogon) Enable Automatic Logon' is set to 'Disabled'","N/A","Medium","","","1","1"
1006475,"[18.6.14.1][MS][2016][DC][v4.0.0][L1] Ensure 'Hardened UNC Paths' is set to 'Enabled, with 'Require Mutual Authentication', 'Require Integrity', and 'Require Privacy' set for all NETLOGON and SYSVOL shares'","N/A","Medium","","","1","1"
1006930,"[1.1.6][MS][2016][DC][v4.0.0][L1] Ensure 'Store passwords using reversible encryption' is set to 'Disabled'","N/A","Medium","","","1","1"
1006931,"[17.1.2][MS][2016][DC][v4.0.0][L1] Ensure 'Audit Kerberos Authentication Service' is set to 'Success and Failure' (DC Only)","N/A","Medium","","","1","1"
1006932,"[17.1.3][MS][2016][DC][v4.0.0][L1] Ensure 'Audit Kerberos Service Ticket Operations' is set to 'Success and Failure' (DC Only)","N/A","Medium","","","1","1"
1006933,"[17.2.2][MS][2016][DC][v4.0.0][L1] Ensure 'Audit Computer Account Management' is set to include 'Success' (DC only)","N/A","Medium","","","1","1"
1006934,"[17.2.3][MS][2016][DC][v4.0.0][L1] Ensure 'Audit Distribution Group Management' is set to include 'Success' (DC only)","N/A","Medium","","","1","1"
1006935,"[17.2.4][MS][2016][DC][v4.0.0][L1] Ensure 'Audit Other Account Management Events' is set to include 'Success' (DC only)","N/A","Medium","","","1","1"
1006936,"[17.2.5][MS][2016][DC][v4.0.0][L1] Ensure 'Audit Security Group Management' is set to include 'Success'","N/A","Medium","","","1","1"
1006937,"[17.2.6][MS][2016][DC][v4.0.0][L1] Ensure 'Audit User Account Management' is set to 'Success and Failure'","N/A","Medium","","","1","1"
1006938,"[17.4.1][MS][2016][DC][v4.0.0][L1] Ensure 'Audit Directory Service Access' is set to include 'Failure' (DC only)","N/A","Medium","","","1","1"
1006939,"[17.4.2][MS][2016][DC][v4.0.0][L1] Ensure 'Audit Directory Service Changes' is set to include 'Success' (DC only)","N/A","Medium","","","1","1"
1006940,"[18.10.13.2][MS][2016][DC][v4.0.0][L1] Ensure 'Turn off Microsoft consumer experiences' is set to 'Enabled'","N/A","Medium","","","1","1"
1006941,"[18.10.29.2][MS][2016][DC][v4.0.0][L1] Ensure 'Do not apply the Mark of the Web tag to files copied from insecure sources' is set to 'Disabled'","N/A","Medium","","","1","1"
1006942,"[18.10.29.3][MS][2016][DC][v4.0.0][L1] Ensure 'Turn off Data Execution Prevention for Explorer' is set to 'Disabled'","N/A","Medium","","","1","1"
1006943,"[18.10.57.3.11.2][MS][2016][DC][v4.0.0][L1] Ensure 'Do not use temporary folders per session' is set to 'Disabled'","N/A","Medium","","","1","1"
1006944,"[18.10.57.3.3.2][MS][2016][DC][v4.0.0][L1] Ensure 'Do not allow drive redirection' is set to 'Enabled'","N/A","Medium","","","1","1"
1006945,"[18.10.59.3][MS][2016][DC][v4.0.0][L1] Ensure 'Allow indexing of encrypted files' is set to 'Disabled'","N/A","Medium","","","1","1"
1006946,"[18.10.82.1][MS][2016][DC][v4.0.0][L1] Ensure 'Sign-in and lock last interactive user automatically after a restart' is set to 'Disabled'","N/A","Medium","","","1","1"
1006947,"[18.4.2][MS][2016][DC][v4.0.0][L1] Ensure 'Configure SMB v1 client driver' is set to 'Enabled: Disable driver (recommended)'","N/A","Medium","","","1","1"
1006948,"[18.4.3][MS][2016][DC][v4.0.0][L1] Ensure 'Configure SMB v1 server' is set to 'Disabled'","N/A","Medium","","","1","1"
1006949,"[18.4.4][MS][2016][DC][v4.0.0][L1] Ensure 'Enable Certificate Padding' is set to 'Enabled'","N/A","Medium","","","1","1"
1006950,"[18.4.5][MS][2016][DC][v4.0.0][L1] Ensure 'Enable Structured Exception Handling Overwrite Protection (SEHOP)' is set to 'Enabled'","N/A","Medium","","","1","1"
1006951,"[18.4.6][MS][2016][DC][v4.0.0][L1] Ensure 'LSA Protection' is set to 'Enabled'","N/A","Medium","","","1","1"
1006952,"[18.4.7][MS][2016][DC][v4.0.0][L1] Ensure 'NetBT NodeType configuration' is set to 'Enabled: P-node (recommended)'","N/A","Medium","","","1","1"
1006953,"[18.4.8][MS][2016][DC][v4.0.0][L1] Ensure 'WDigest Authentication' is set to 'Disabled'","N/A","Medium","","","1","1"
1006954,"[18.5.12][MS][2016][DC][v4.0.0][L1] Ensure 'MSS: (WarningLevel) Percentage threshold for the security event log at which the system will generate a warning' is set to 'Enabled: 90% or less'","N/A","Medium","","","1","1"
1006955,"[18.5.4][MS][2016][DC][v4.0.0][L1] Ensure 'MSS: (EnableICMPRedirect) Allow ICMP redirects to override OSPF generated routes' is set to 'Disabled'","N/A","Medium","","","1","1"
1006956,"[18.5.6][MS][2016][DC][v4.0.0][L1] Ensure 'MSS: (NoNameReleaseOnDemand) Allow the computer to ignore NetBIOS name release requests except from WINS servers' is set to 'Enabled'","N/A","Medium","","","1","1"
1006957,"[18.5.8][MS][2016][DC][v4.0.0][L1] Ensure 'MSS: (SafeDllSearchMode) Enable Safe DLL search mode' is set to 'Enabled'","N/A","Medium","","","1","1"
1006958,"[18.5.9][MS][2016][DC][v4.0.0][L1] Ensure 'MSS: (ScreenSaverGracePeriod) The time in seconds before the screen saver grace period expires' is set to 'Enabled: 5 or fewer seconds'","N/A","Medium","","","1","1"
1006959,"[18.6.11.4][MS][2016][DC][v4.0.0][L1] Ensure 'Require domain users to elevate when setting a network's location' is set to 'Enabled'","N/A","Medium","","","1","1"
1006961,"[18.6.21.1][MS][2016][DC][v4.0.0][L1] Ensure 'Minimize the number of simultaneous connections to the Internet or a Windows Domain' is set to 'Enabled: 1 = Minimize simultaneous connections'","N/A","Medium","","","1","1"
1006962,"[18.6.4.2][MS][2016][DC][v4.0.0][L1] Ensure 'Configure NetBIOS settings' is set to 'Enabled: Disable NetBIOS name resolution on public networks'","N/A","Medium","","","1","1"
1006963,"[18.6.4.4][MS][2016][DC][v4.0.0][L1] Ensure 'Turn off multicast name resolution' is set to 'Enabled'","N/A","Medium","","","1","1"
1006964,"[18.6.8.1][MS][2016][DC][v4.0.0][L1] Ensure 'Enable insecure guest logons' is set to 'Disabled'","N/A","Medium","","","1","1"
1006965,"[18.9.19.2][MS][2016][DC][v4.0.0][L1] Ensure 'Configure registry policy processing: Do not apply during periodic background processing' is set to 'Enabled: FALSE'","N/A","Medium","","","1","1"
1006966,"[18.9.19.3][MS][2016][DC][v4.0.0][L1] Ensure 'Configure registry policy processing: Process even if the Group Policy objects have not changed' is set to 'Enabled: TRUE'","N/A","Medium","","","1","1"
1006967,"[18.9.19.4][MS][2016][DC][v4.0.0][L1] Ensure 'Configure security policy processing: Do not apply during periodic background processing' is set to 'Enabled: FALSE'","N/A","Medium","","","1","1"
1006968,"[18.9.19.5][MS][2016][DC][v4.0.0][L1] Ensure 'Configure security policy processing: Process even if the Group Policy objects have not changed' is set to 'Enabled: TRUE'","N/A","Medium","","","1","1"
1006969,"[18.9.19.6][MS][2016][DC][v4.0.0][L1] Ensure 'Continue experiences on this device' is set to 'Disabled'","N/A","Medium","","","1","1"
1006970,"[18.9.19.7][MS][2016][DC][v4.0.0][L1] Ensure 'Turn off background refresh of Group Policy' is set to 'Disabled'","N/A","Medium","","","1","1"
1006971,"[18.9.20.1.1][MS][2016][DC][v4.0.0][L1] Ensure 'Turn off downloading of print drivers over HTTP' is set to 'Enabled'","N/A","Medium","","","1","1"
1006972,"[18.9.20.1.5][MS][2016][DC][v4.0.0][L1] Ensure 'Turn off Internet download for Web publishing and online ordering wizards' is set to 'Enabled'","N/A","Medium","","","1","1"
1006973,"[18.9.28.3][MS][2016][DC][v4.0.0][L1] Ensure 'Do not enumerate connected users on domain-joined computers' is set to 'Enabled'","N/A","Medium","","","1","1"
1006974,"[18.9.28.5][MS][2016][DC][v4.0.0][L1] Ensure 'Turn off app notifications on the lock screen' is set to 'Enabled'","N/A","Medium","","","1","1"
1006975,"[18.9.28.6][MS][2016][DC][v4.0.0][L1] Ensure 'Turn off picture password sign-in' is set to 'Enabled'","N/A","Medium","","","1","1"
1006976,"[18.9.28.7][MS][2016][DC][v4.0.0][L1] Ensure 'Turn on convenience PIN sign-in' is set to 'Disabled'","N/A","Medium","","","1","1"
1006977,"[18.9.33.6.3][MS][2016][DC][v4.0.0][L1] Ensure 'Require a password when a computer wakes (on battery)' is set to 'Enabled'","N/A","Medium","","","1","1"
1006978,"[18.9.33.6.4][MS][2016][DC][v4.0.0][L1] Ensure 'Require a password when a computer wakes (plugged in)' is set to 'Enabled'","N/A","Medium","","","1","1"
1006979,"[2.2.11][MS][2016][DC][v4.0.0][L1] Ensure 'Back up files and directories' is set to 'Administrators'","N/A","Medium","","","1","1"
1006980,"[2.2.12][MS][2016][DC][v4.0.0][L1] Ensure 'Change the system time' is set to 'Administrators, LOCAL SERVICE'","N/A","Medium","","","1","1"
1006981,"[2.2.13][MS][2016][DC][v4.0.0][L1] Ensure 'Change the time zone' is set to 'Administrators, LOCAL SERVICE'","N/A","Medium","","","1","1"
1006982,"[2.2.14][MS][2016][DC][v4.0.0][L1] Ensure 'Create a pagefile' is set to 'Administrators'","N/A","Medium","","","1","1"
1006983,"[2.2.15][MS][2016][DC][v4.0.0][L1] Ensure 'Create a token object' is set to 'No One'","N/A","Medium","","","1","1"
1006984,"[2.2.16][MS][2016][DC][v4.0.0][L1] Ensure 'Create global objects' is set to 'Administrators, LOCAL SERVICE, NETWORK SERVICE, SERVICE'","N/A","Medium","","","1","1"
1006985,"[2.2.17][MS][2016][DC][v4.0.0][L1] Ensure 'Create permanent shared objects' is set to 'No One'","N/A","Medium","","","1","1"
1006986,"[2.2.18][MS][2016][DC][v4.0.0][L1] Ensure 'Create symbolic links' is set to 'Administrators' (DC only)","N/A","Medium","","","1","1"
1006987,"[2.2.2][MS][2016][DC][v4.0.0][L1] Ensure 'Access this computer from the network' is set to 'Administrators, Authenticated Users, ENTERPRISE DOMAIN CONTROLLERS' (DC only)","N/A","Medium","","","1","1"
1006988,"[2.2.20][MS][2016][DC][v4.0.0][L1] Ensure 'Debug programs' is set to 'Administrators'","N/A","Medium","","","1","1"
1006989,"[2.2.21][MS][2016][DC][v4.0.0][L1] Ensure 'Deny access to this computer from the network' to include 'Guests' (DC only)","N/A","Medium","","","1","1"
1006990,"[2.2.23][MS][2016][DC][v4.0.0][L1] Ensure 'Deny log on as a batch job' to include 'Guests'","N/A","Medium","","","1","1"
1006991,"[2.2.24][MS][2016][DC][v4.0.0][L1] Ensure 'Deny log on as a service' to include 'Guests'","N/A","Medium","","","1","1"
1006992,"[2.2.25][MS][2016][DC][v4.0.0][L1] Ensure 'Deny log on locally' to include 'Guests'","N/A","Medium","","","1","1"
1006993,"[2.2.26][MS][2016][DC][v4.0.0][L1] Ensure 'Deny log on through Remote Desktop Services' to include 'Guests' (DC only)","N/A","Medium","","","1","1"
1006994,"[2.2.28][MS][2016][DC][v4.0.0][L1] Ensure 'Enable computer and user accounts to be trusted for delegation' is set to 'Administrators' (DC only)","N/A","Medium","","","1","1"
1006995,"[2.2.30][MS][2016][DC][v4.0.0][L1] Ensure 'Force shutdown from a remote system' is set to 'Administrators'","N/A","Medium","","","1","1"
1006996,"[2.2.31][MS][2016][DC][v4.0.0][L1] Ensure 'Generate security audits' is set to 'LOCAL SERVICE, NETWORK SERVICE'","N/A","Medium","","","1","1"
1006997,"[2.2.32][MS][2016][DC][v4.0.0][L1] Ensure 'Impersonate a client after authentication' is set to 'Administrators, LOCAL SERVICE, NETWORK SERVICE, SERVICE' (DC only)","N/A","Medium","","","1","1"
1006998,"[2.2.34][MS][2016][DC][v4.0.0][L1] Ensure 'Increase scheduling priority' is set to 'Administrators'","N/A","Medium","","","1","1"
1006999,"[2.2.35][MS][2016][DC][v4.0.0][L1] Ensure 'Load and unload device drivers' is set to 'Administrators'","N/A","Medium","","","1","1"
1007000,"[2.2.36][MS][2016][DC][v4.0.0][L1] Ensure 'Lock pages in memory' is set to 'No One'","N/A","Medium","","","1","1"
1007001,"[2.2.38][MS][2016][DC][v4.0.0][L1] Ensure 'Manage auditing and security log' is set to 'Administrators' (DC only)","N/A","Medium","","","1","1"
1007002,"[2.2.4][MS][2016][DC][v4.0.0][L1] Ensure 'Act as part of the operating system' is set to 'No One'","N/A","Medium","","","1","1"
1007003,"[2.2.40][MS][2016][DC][v4.0.0][L1] Ensure 'Modify an object label' is set to 'No One'","N/A","Medium","","","1","1"
1007004,"[2.2.41][MS][2016][DC][v4.0.0][L1] Ensure 'Modify firmware environment values' is set to 'Administrators'","N/A","Medium","","","1","1"
1007005,"[2.2.42][MS][2016][DC][v4.0.0][L1] Ensure 'Perform volume maintenance tasks' is set to 'Administrators'","N/A","Medium","","","1","1"
1007006,"[2.2.43][MS][2016][DC][v4.0.0][L1] Ensure 'Profile single process' is set to 'Administrators'","N/A","Medium","","","1","1"
1007007,"[2.2.44][MS][2016][DC][v4.0.0][L1] Ensure 'Profile system performance' is set to 'Administrators, NT SERVICE\\WdiServiceHost'","N/A","Medium","","","1","1"
1007008,"[2.2.45][MS][2016][DC][v4.0.0][L1] Ensure 'Replace a process level token' is set to 'LOCAL SERVICE, NETWORK SERVICE'","N/A","Medium","","","1","1"
1007009,"[2.2.46][MS][2016][DC][v4.0.0][L1] Ensure 'Restore files and directories' is set to 'Administrators'","N/A","Medium","","","1","1"
1007010,"[2.2.47][MS][2016][DC][v4.0.0][L1] Ensure 'Shut down the system' is set to 'Administrators'","N/A","Medium","","","1","1"
1007011,"[2.2.48][MS][2016][DC][v4.0.0][L1] Ensure 'Synchronize directory service data' is set to 'No One' (DC only)","N/A","Medium","","","1","1"
1007012,"[2.2.49][MS][2016][DC][v4.0.0][L1] Ensure 'Take ownership of files or other objects' is set to 'Administrators'","N/A","Medium","","","1","1"
1007013,"[2.2.5][MS][2016][DC][v4.0.0][L1] Ensure 'Add workstations to domain' is set to 'Administrators' (DC only)","N/A","Medium","","","1","1"
1007014,"[2.2.6][MS][2016][DC][v4.0.0][L1] Ensure 'Adjust memory quotas for a process' is set to 'Administrators, LOCAL SERVICE, NETWORK SERVICE'","N/A","Medium","","","1","1"
1007015,"[2.2.7][MS][2016][DC][v4.0.0][L1] Ensure 'Allow log on locally' is set to 'Administrators, ENTERPRISE DOMAIN CONTROLLERS' (DC only)","N/A","Medium","","","1","1"
1007016,"[2.2.9][MS][2016][DC][v4.0.0][L1] Ensure 'Allow log on through Remote Desktop Services' is set to 'Administrators' (DC only)","N/A","Medium","","","1","1"
1007017,"[2.3.10.10][MS][2016][DC][v4.0.0][L1] Ensure 'Network access: Restrict anonymous access to Named Pipes and Shares' is set to 'Enabled'","N/A","Medium","","","1","1"
1007018,"[2.3.10.12][MS][2016][DC][v4.0.0][L1] Ensure 'Network access: Shares that can be accessed anonymously' is set to 'None'","N/A","Medium","","","1","1"
1007019,"[2.3.10.13][MS][2016][DC][v4.0.0][L1] Ensure 'Network access: Sharing and security model for local accounts' is set to 'Classic - local users authenticate as themselves'","N/A","Medium","","","1","1"
1007020,"[2.3.10.6][MS][2016][DC][v4.0.0][L1] Ensure 'Network access: Named Pipes that can be accessed anonymously' is configured (DC only)","N/A","Medium","","","1","1"
1007021,"[2.3.10.8][MS][2016][DC][v4.0.0][L1] Ensure 'Network access: Remotely accessible registry paths' is configured","N/A","Medium","","","1","1"
1007022,"[2.3.10.9][MS][2016][DC][v4.0.0][L1] Ensure 'Network access: Remotely accessible registry paths and sub-paths' is configured","N/A","Medium","","","1","1"
1007023,"[2.3.11.12][MS][2016][DC][v4.0.0][L1] Ensure 'Network security: Restrict NTLM: Audit NTLM authentication in this domain' is set to 'Enable all' (DC only)","N/A","Medium","","","1","1"
1007024,"[2.3.11.13][MS][2016][DC][v4.0.0][L1] Ensure 'Network security: Restrict NTLM: Outgoing NTLM traffic to remote servers' is set to 'Audit all' or higher","N/A","Medium","","","1","1"
1007025,"[2.3.13.1][MS][2016][DC][v4.0.0][L1] Ensure 'Shutdown: Allow system to be shut down without having to log on' is set to 'Disabled'","N/A","Medium","","","1","1"
1007026,"[2.3.4.1][MS][2016][DC][v4.0.0][L1] Ensure 'Devices: Prevent users from installing printer drivers' is set to 'Enabled'","N/A","Medium","","","1","1"
1007027,"[2.3.5.1][MS][2016][DC][v4.0.0][L1] Ensure 'Domain controller: Allow server operators to schedule tasks' is set to 'Disabled' (DC only)","N/A","Medium","","","1","1"
1007028,"[2.3.5.2][MS][2016][DC][v4.0.0][L1] Ensure 'Domain controller: Allow vulnerable Netlogon secure channel connections' is set to 'Not Configured' (DC Only)","N/A","Medium","","","1","1"
1007029,"[2.3.5.3][MS][2016][DC][v4.0.0][L1] Ensure 'Domain controller: LDAP server channel binding token requirements' is set to 'Always' (DC Only)","N/A","Medium","","","1","1"
1007030,"[2.3.5.4][MS][2016][DC][v4.0.0][L1] Ensure 'Domain controller: LDAP server signing requirements' is set to 'Require signing' (DC only)","N/A","Medium","","","1","1"
1007031,"[2.3.5.5][MS][2016][DC][v4.0.0][L1] Ensure 'Domain controller: Refuse machine account password changes' is set to 'Disabled' (DC only)","N/A","Medium","","","1","1"
1007032,"[2.3.6.1][MS][2016][DC][v4.0.0][L1] Ensure 'Domain member: Digitally encrypt or sign secure channel data (always)' is set to 'Enabled'","N/A","Medium","","","1","1"
1007033,"[2.3.6.2][MS][2016][DC][v4.0.0][L1] Ensure 'Domain member: Digitally encrypt secure channel data (when possible)' is set to 'Enabled'","N/A","Medium","","","1","1"
1007034,"[2.3.6.3][MS][2016][DC][v4.0.0][L1] Ensure 'Domain member: Digitally sign secure channel data (when possible)' is set to 'Enabled'","N/A","Medium","","","1","1"
1007035,"[2.3.6.4][MS][2016][DC][v4.0.0][L1] Ensure 'Domain member: Disable machine account password changes' is set to 'Disabled'","N/A","Medium","","","1","1"
1007036,"[2.3.6.5][MS][2016][DC][v4.0.0][L1] Ensure 'Domain member: Maximum machine account password age' is set to '30 or fewer days, but not 0'","N/A","Medium","","","1","1"
1007037,"[2.3.6.6][MS][2016][DC][v4.0.0][L1] Ensure 'Domain member: Require strong (Windows 2000 or later) session key' is set to 'Enabled'","N/A","Medium","","","1","1"
1007038,"[2.3.7.1][MS][2016][DC][v4.0.0][L1] Ensure 'Interactive logon: Do not display last user name' is set to 'Enabled'","N/A","Medium","","","1","1"
1007039,"[2.3.7.2][MS][2016][DC][v4.0.0][L1] Ensure 'Interactive logon: Do not require CTRL+ALT+DEL' is set to 'Disabled'","N/A","Medium","","","1","1"
1007040,"[2.3.7.3][MS][2016][DC][v4.0.0][L1] Ensure 'Interactive logon: Machine inactivity limit' is set to '900 or fewer second(s), but not 0'","N/A","Medium","","","1","1"
1007041,"[2.3.7.4][MS][2016][DC][v4.0.0][L1] Configure 'Interactive logon: Message text for users attempting to log on'","N/A","Medium","","","1","1"
1007042,"[2.3.7.5][MS][2016][DC][v4.0.0][L1] Configure 'Interactive logon: Message title for users attempting to log on'","N/A","Medium","","","1","1"
1007043,"[2.3.7.9][MS][2016][DC][v4.0.0][L1] Ensure 'Interactive logon: Smart card removal behavior' is set to 'Lock Workstation' or higher","N/A","Medium","","","1","1"
1007044,"[5.1][MS][2016][DC][v4.0.0][L1] Ensure 'Print Spooler (Spooler)' is set to 'Disabled' (DC only)","N/A","Medium","","","1","1"
1007332,"[1.1.1][MS][2019][DC][v4.0.0][L1] Ensure 'Enforce password history' is set to '24 or more password(s)'","N/A","Medium","","","1","1"
1007333,"[1.1.2][MS][2019][DC][v4.0.0][L1] Ensure 'Maximum password age' is set to '365 or fewer days, but not 0'","N/A","Medium","","","1","1"
1007334,"[1.1.3][MS][2019][DC][v4.0.0][L1] Ensure 'Minimum password age' is set to '1 or more day(s)'","N/A","Medium","","","1","1"
1007335,"[1.1.4][MS][2019][DC][v4.0.0][L1] Ensure 'Minimum password length' is set to '14 or more character(s)'","N/A","Medium","","","1","1"
1007336,"[1.1.5][MS][2019][DC][v4.0.0][L1] Ensure 'Password must meet complexity requirements' is set to 'Enabled'","N/A","Medium","","","1","1"
1007337,"[1.1.6][MS][2019][DC][v4.0.0][L1] Ensure 'Store passwords using reversible encryption' is set to 'Disabled'","N/A","Medium","","","1","1"
1007338,"[1.2.1][MS][2019][DC][v4.0.0][L1] Ensure 'Account lockout duration' is set to '15 or more minute(s)'","N/A","Medium","","","1","1"
1007339,"[1.2.2][MS][2019][DC][v4.0.0][L1] Ensure 'Account lockout threshold' is set to '5 or fewer invalid logon attempt(s), but not 0'","N/A","Medium","","","1","1"
1007340,"[1.2.4][MS][2019][DC][v4.0.0][L1] Ensure 'Reset account lockout counter after' is set to '15 or more minute(s)'","N/A","Medium","","","1","1"
1007341,"[17.1.1][MS][2019][DC][v4.0.0][L1] Ensure 'Audit Credential Validation' is set to 'Success and Failure'","N/A","Medium","","","1","1"
1007342,"[17.1.2][MS][2019][DC][v4.0.0][L1] Ensure 'Audit Kerberos Authentication Service' is set to 'Success and Failure' (DC Only)","N/A","Medium","","","1","1"
1007343,"[17.1.3][MS][2019][DC][v4.0.0][L1] Ensure 'Audit Kerberos Service Ticket Operations' is set to 'Success and Failure' (DC Only)","N/A","Medium","","","1","1"
1007344,"[17.2.1][MS][2019][DC][v4.0.0][L1] Ensure 'Audit Application Group Management' is set to 'Success and Failure'","N/A","Medium","","","1","1"
1007345,"[17.2.2][MS][2019][DC][v4.0.0][L1] Ensure 'Audit Computer Account Management' is set to include 'Success' (DC only)","N/A","Medium","","","1","1"
1007346,"[17.2.3][MS][2019][DC][v4.0.0][L1] Ensure 'Audit Distribution Group Management' is set to include 'Success' (DC only)","N/A","Medium","","","1","1"
1007347,"[17.2.4][MS][2019][DC][v4.0.0][L1] Ensure 'Audit Other Account Management Events' is set to include 'Success' (DC only)","N/A","Medium","","","1","1"
1007348,"[17.2.5][MS][2019][DC][v4.0.0][L1] Ensure 'Audit Security Group Management' is set to include 'Success'","N/A","Medium","","","1","1"
1007349,"[17.2.6][MS][2019][DC][v4.0.0][L1] Ensure 'Audit User Account Management' is set to 'Success and Failure'","N/A","Medium","","","1","1"
1007350,"[17.3.1][MS][2019][DC][v4.0.0][L1] Ensure 'Audit PNP Activity' is set to include 'Success'","N/A","Medium","","","1","1"
1007351,"[17.3.2][MS][2019][DC][v4.0.0][L1] Ensure 'Audit Process Creation' is set to include 'Success'","N/A","Medium","","","1","1"
1007352,"[17.4.1][MS][2019][DC][v4.0.0][L1] Ensure 'Audit Directory Service Access' is set to include 'Failure' (DC only)","N/A","Medium","","","1","1"
1007353,"[17.4.2][MS][2019][DC][v4.0.0][L1] Ensure 'Audit Directory Service Changes' is set to include 'Success' (DC only)","N/A","Medium","","","1","1"
1007354,"[17.5.1][MS][2019][DC][v4.0.0][L1] Ensure 'Audit Account Lockout' is set to include 'Failure'","N/A","Medium","","","1","1"
1007355,"[17.5.2][MS][2019][DC][v4.0.0][L1] Ensure 'Audit Group Membership' is set to include 'Success'","N/A","Medium","","","1","1"
1007356,"[17.5.3][MS][2019][DC][v4.0.0][L1] Ensure 'Audit Logoff' is set to include 'Success'","N/A","Medium","","","1","1"
1007357,"[17.5.4][MS][2019][DC][v4.0.0][L1] Ensure 'Audit Logon' is set to 'Success and Failure'","N/A","Medium","","","1","1"
1007358,"[17.5.5][MS][2019][DC][v4.0.0][L1] Ensure 'Audit Other Logon/Logoff Events' is set to 'Success and Failure'","N/A","Medium","","","1","1"
1007359,"[17.5.6][MS][2019][DC][v4.0.0][L1] Ensure 'Audit Special Logon' is set to include 'Success'","N/A","Medium","","","1","1"
1007360,"[17.6.1][MS][2019][DC][v4.0.0][L1] Ensure 'Audit Detailed File Share' is set to include 'Failure'","N/A","Medium","","","1","1"
1007361,"[17.6.2][MS][2019][DC][v4.0.0][L1] Ensure 'Audit File Share' is set to 'Success and Failure'","N/A","Medium","","","1","1"
1007362,"[17.6.3][MS][2019][DC][v4.0.0][L1] Ensure 'Audit Other Object Access Events' is set to 'Success and Failure'","N/A","Medium","","","1","1"
1007363,"[17.6.4][MS][2019][DC][v4.0.0][L1] Ensure 'Audit Removable Storage' is set to 'Success and Failure'","N/A","Medium","","","1","1"
1007364,"[17.7.1][MS][2019][DC][v4.0.0][L1] Ensure 'Audit Audit Policy Change' is set to include 'Success'","N/A","Medium","","","1","1"
1007365,"[17.7.2][MS][2019][DC][v4.0.0][L1] Ensure 'Audit Authentication Policy Change' is set to include 'Success'","N/A","Medium","","","1","1"
1007366,"[17.7.3][MS][2019][DC][v4.0.0][L1] Ensure 'Audit Authorization Policy Change' is set to include 'Success'","N/A","Medium","","","1","1"
1007367,"[17.7.4][MS][2019][DC][v4.0.0][L1] Ensure 'Audit MPSSVC Rule-Level Policy Change' is set to 'Success and Failure'","N/A","Medium","","","1","1"
1007368,"[17.7.5][MS][2019][DC][v4.0.0][L1] Ensure 'Audit Other Policy Change Events' is set to include 'Failure'","N/A","Medium","","","1","1"
1007369,"[17.8.1][MS][2019][DC][v4.0.0][L1] Ensure 'Audit Sensitive Privilege Use' is set to 'Success and Failure'","N/A","Medium","","","1","1"
1007370,"[17.9.1][MS][2019][DC][v4.0.0][L1] Ensure 'Audit IPsec Driver' is set to 'Success and Failure'","N/A","Medium","","","1","1"
1007371,"[17.9.2][MS][2019][DC][v4.0.0][L1] Ensure 'Audit Other System Events' is set to 'Success and Failure'","N/A","Medium","","","1","1"
1007372,"[17.9.3][MS][2019][DC][v4.0.0][L1] Ensure 'Audit Security State Change' is set to include 'Success'","N/A","Medium","","","1","1"
1007373,"[17.9.4][MS][2019][DC][v4.0.0][L1] Ensure 'Audit Security System Extension' is set to include 'Success'","N/A","Medium","","","1","1"
1007374,"[17.9.5][MS][2019][DC][v4.0.0][L1] Ensure 'Audit System Integrity' is set to 'Success and Failure'","N/A","Medium","","","1","1"
1007375,"[18.10.13.1][MS][2019][DC][v4.0.0][L1] Ensure 'Turn off cloud consumer account state content' is set to 'Enabled'","N/A","Medium","","","1","1"
1007376,"[18.10.13.2][MS][2019][DC][v4.0.0][L1] Ensure 'Turn off Microsoft consumer experiences' is set to 'Enabled'","N/A","Medium","","","1","1"
1007377,"[18.10.14.1][MS][2019][DC][v4.0.0][L1] Ensure 'Require pin for pairing' is set to 'Enabled: First Time' OR 'Enabled: Always'","N/A","Medium","","","1","1"
1007378,"[18.10.15.1][MS][2019][DC][v4.0.0][L1] Ensure 'Do not display the password reveal button' is set to 'Enabled'","N/A","Medium","","","1","1"
1007379,"[18.10.15.2][MS][2019][DC][v4.0.0][L1] Ensure 'Enumerate administrator accounts on elevation' is set to 'Disabled'","N/A","Medium","","","1","1"
1007380,"[18.10.16.1][MS][2019][DC][v4.0.0][L1] Ensure 'Allow Diagnostic Data' is set to 'Enabled: Diagnostic data off (not recommended)' or 'Enabled: Send required diagnostic data'","N/A","Medium","","","1","1"
1007381,"[18.10.16.3][MS][2019][DC][v4.0.0][L1] Ensure 'Disable OneSettings Downloads' is set to 'Enabled'","N/A","Medium","","","1","1"
1007382,"[18.10.16.4][MS][2019][DC][v4.0.0][L1] Ensure 'Do not show feedback notifications' is set to 'Enabled'","N/A","Medium","","","1","1"
1007383,"[18.10.16.5][MS][2019][DC][v4.0.0][L1] Ensure 'Enable OneSettings Auditing' is set to 'Enabled'","N/A","Medium","","","1","1"
